Production,Usage,Plugload
0,80.34,34.76
0,75.64,32.06
0,37.18,12.78
0,27.03,8.92
1203,3614.27,1294.69
0,28.23,8.84
0,30.18,8.84
0,29.69,8.84
0,30.73,8.84
0,48.13,8.84
0,78.82,12.46
0,92.48,12.85
13,157.6,38.73
75,266.08,107.18
133,270.94,112.58
140,273.58,112.74
62,274.16,112.74
195,244.71,98.8
182,263.81,105.99
143,260.85,105.99
68,267.85,101.49
0,243.99,92.5
0,176.54,63.69
0,111.78,42.1
0,103.57,42.1
0,80.15,34.76
0,75.63,32.06
0,37.12,12.78
0,26.95,8.92
1011,3473.57,1294.69
0,29.23,8.84
0,29.06,8.84
0,29.56,8.84
0,30.02,8.84
0,59.52,8.84
0,66.68,12.46
0,86.53,12.85
7,156.52,38.73
20,256.57,107.18
36,246.21,112.58
33,241.51,112.74
42,243.79,112.74
29,224.87,98.8
23,251.15,105.99
29,248.75,105.99
36,258.42,101.49
0,256.55,92.5
0,169.72,63.69
0,106.26,42.1
0,99.17,42.1
0,80.1,34.76
0,74.73,32.06
0,35.49,12.78
0,26.28,8.92
255,3306.69,1294.69
0,27.15,8.84
0,28.67,8.84
0,30.36,8.84
0,31.46,8.84
0,66.25,8.84
0,71.17,12.46
0,83.71,12.85
20,152.45,38.73
81,260.6,107.18
140,261.46,112.58
179,248.79,112.74
198,246.4,112.74
198,225.43,98.8
182,255.83,105.99
146,250.55,105.99
98,244.12,101.49
0,222.44,92.5
0,166.68,63.69
0,106.36,42.1
0,99.07,42.1
0,80.07,34.76
0,74.96,32.06
0,34.91,12.78
0,25.61,8.92
1242,3294.48,1294.69
0,27.06,8.87
0,27.07,8.84
0,28.75,8.84
0,28.43,8.84
0,29.86,8.84
0,51.08,8.84
0,61.47,12.52
23,86.01,12.79
81,129.49,32.13
140,108.95,32.75
179,100.98,33.31
189,94.11,33.31
195,69.95,22.51
176,50.06,18.01
65,42.12,18.01
16,43.12,18.01
0,45.4,18.01
0,30.07,10.88
0,30.52,10.28
0,32.36,9.98
0,31.89,9.98
0,32.02,9.68
0,32.13,9.39
0,27.94,8.92
1064,1240.85,373.57
0,29.75,8.87
0,31.65,8.84
0,33.42,8.84
